Account_id,Name,Timestamp,Credit/Debit,Amount
1201201,-TL,3/12/2013,C,$43
1201202,6V2,5/10/2012,D,$5
1201203,E1P,6/27/2012,C,$13
1201204,M@V,9/8/2012,C,$14
1201205,PDI,3/13/2014,D,$32
1201206,EY=,2/15/2013,C,$1
1201207,S29,8/19/2014,D,$45
1201208,.J9,9/7/2014,C,$44
1201209,HBT,6/10/2014,C,$46
1201210,RM9,11/25/2014,C,$30
1201211,5B3,10/21/2012,D,$17
1201212,VLJ,4/25/2013,D,$19
1201213,BK.,8/7/2012,C,$30
1201214,MMR,3/25/2014,D,$47
1201215,0KK,1/3/2012,C,$41
1201216,40F,10/25/2013,C,$28
1201217,:?W,10/11/2014,D,$34
1201218,LV8,6/8/2014,C,$34
1201219,?Y-,9/10/2013,D,$16
1201220,5IC,1/13/2014,C,$24
1201221,773,2/19/2012,C,$5
1201222,P:4,11/15/2014,C,$25
1201223,.1@,1/24/2012,D,$10
1201224,0WA,2/21/2014,D,$8
1201225,85-,3/3/2012,C,$22
1201226,M25,11/28/2012,D,$38
1201227,9W2,1/26/2013,C,$8
1201228,;9?,11/19/2013,C,$33
1201229,2/:,8/25/2013,D,$4
1201230,>H:,2/16/2013,C,$28
1201231,4?Y,4/9/2014,D,$27
1201232,PT2,5/28/2012,C,$50
1201233,7>U,4/6/2014,C,$3
1201234,CA;,2/2/2013,C,$50
1201235,3K-,8/6/2014,D,$12
1201236,EY?,5/6/2013,D,$48
1201237,M8L,3/3/2014,C,$35
1201238,2S4,6/17/2012,D,$17
1201239,2US,11/28/2013,C,$9
1201240,KV4,3/26/2013,C,$33
1201241,C?G,8/20/2013,D,$5
1201242,TW1,6/3/2012,C,$45
1201243,9OJ,7/3/2014,D,$15
1201244,>VS,6/14/2012,C,$12
1201245,CR;,2/27/2013,C,$2
1201246,.CY,11/2/2012,C,$26
1201247,Y4@,4/10/2012,D,$11
1201248,;6T,11/5/2014,D,$37
1201249,=L9,7/17/2013,C,$27
1201250,Q>F,11/18/2013,D,$31
1201251,IR.,9/22/2013,C,$44
1201252,VJW,5/20/2013,C,$48
1201253,?VS,12/24/2012,D,$36
1201254,HKH,12/8/2012,C,$6
1201255,P==,8/10/2014,D,$36
1201256,NWQ,8/22/2013,C,$36
1201257,PZ0,7/16/2014,C,$9
1201258,C?E,6/13/2013,C,$12
1201259,M/Y,1/6/2012,D,$1
1201260,;Q6,4/11/2012,D,$8
1201261,:@=,1/19/2014,C,$40
1201262,O<M,2/8/2014,D,$27
1201263,0Z:,5/9/2013,C,$33
1201264,QEX,6/14/2013,C,$20
1201265,;.B,4/18/2014,D,$40
1201266,A?:,7/23/2014,C,$42
1201267,WII,12/2/2013,D,$28
1201268,XD6,10/15/2014,C,$11
1201269,IBS,10/25/2013,C,$1
1201270,4P<,7/16/2012,C,$8
1201271,-DO,2/2/2012,D,$46
1201272,G5B,8/5/2012,D,$24
1201273,Q;R,6/25/2013,C,$28
1201274,1CB,1/12/2014,D,$44
1201275,8-0,6/14/2013,C,$12
1201276,TD?,4/6/2014,C,$32
1201277,/.G,4/4/2014,D,$27
1201278,UU:,5/25/2014,C,$3
1201279,XZ:,11/24/2014,D,$32
1201280,KTQ,7/1/2014,C,$8
1201281,Q:X,9/17/2012,C,$43
1201282,130,4/6/2012,C,$31
1201283,F.M,11/2/2013,D,$9
1201284,XHJ,5/4/2012,D,$41
1201285,CYC,6/10/2012,C,$28
1201286,H>R,8/17/2012,D,$8
1201287,6?0,12/28/2013,C,$43
1201288,=L;,12/22/2014,C,$19
1201289,K1.,2/6/2014,D,$17
1201290,KOJ,12/19/2013,C,$44
1201291,/49,6/4/2012,D,$13
1201292,GSB,2/15/2013,C,$20
1201293,:Z8,9/1/2014,C,$18
1201294,I1R,3/26/2012,C,$39
1201295,GHZ,8/12/2012,D,$34
1201296,4UZ,8/24/2012,D,$17
1201297,XI7,6/15/2012,C,$32
1201298,DUK,8/6/2014,D,$38
1201299,O2O,7/14/2014,C,$11
1201300,;DU,7/5/2012,C,$40
1201301,=4N,4/15/2013,D,$8
1201302,T0X,12/8/2012,C,$36
1201303,-U<,2/8/2012,D,$16
1201304,4;I,8/7/2013,C,$47
1201305,SK/,8/16/2013,C,$45
1201306,G/W,11/26/2014,C,$24
1201307,RVZ,1/8/2014,D,$16
1201308,PNL,10/18/2012,D,$18
1201309,JVI,1/18/2012,C,$8
1201310,-P:,3/4/2014,D,$19
1201311,I7L,3/27/2013,C,$23
1201312,SW2,6/8/2012,C,$34
1201313,9K<,10/7/2013,D,$16
1201314,@MK,8/21/2014,C,$12
1201315,N<R,3/19/2014,D,$47
1201316,KJN,2/26/2013,C,$25
1201317,-Q:,6/1/2013,C,$9
1201318,0J9,5/11/2013,C,$4
1201319,Y:K,11/4/2013,D,$14
1201320,B?A,4/18/2014,D,$27
1201321,S>Z,11/13/2013,C,$26
1201322,LMQ,8/26/2012,D,$6
1201323,O8V,1/7/2014,C,$45
1201324,B=J,1/1/2012,C,$24
1201325,;8G,3/27/2012,D,$48
1201326,YF-,8/24/2014,C,$34
1201327,W>3,6/14/2013,D,$9
1201328,<UJ,7/10/2012,C,$16
1201329,KGT,7/23/2013,C,$14
1201330,9R7,1/19/2014,C,$15
1201331,S/M,11/12/2012,D,$7
1201332,M7A,1/22/2013,D,$27
1201333,-E;,8/8/2014,C,$10
1201334,O9G,5/11/2013,D,$34
1201335,7K.,8/28/2014,C,$7
1201336,VY0,12/22/2013,C,$41
1201337,7PK,5/21/2013,D,$49
1201338,R7/,12/26/2013,C,$48
1201339,LF?,1/12/2012,D,$1
1201340,/.;,1/11/2014,C,$5
1201341,VKP,3/5/2014,C,$4
1201342,=8S,11/18/2012,C,$22
1201343,N2T,12/18/2014,D,$23
1201344,ZFV,5/18/2013,D,$46
1201345,3NZ,7/24/2014,C,$35
1201346,?RC,5/4/2013,D,$3
1201347,CD8,5/1/2012,C,$11
1201348,IG-,6/24/2014,C,$19
1201349,SO9,9/16/2013,D,$19
1201350,/>=,9/4/2013,C,$15
1201351,?KM,10/17/2014,D,$41
1201352,?7?,11/12/2014,C,$4
1201353,1OI,2/10/2012,C,$9
1201354,=JS,6/23/2012,C,$2
1201355,H>M,2/6/2014,D,$19
1201356,PA.,2/16/2013,D,$4
1201357,YLU,4/12/2012,C,$48
1201358,:OL,7/26/2012,D,$26
1201359,X7S,4/14/2013,C,$25
1201360,<XC,9/25/2012,C,$22
1201361,VZ.,4/4/2012,D,$42
1201362,GU8,9/25/2013,C,$46
1201363,8HY,9/7/2014,D,$30
1201364,ZGQ,7/26/2014,C,$35
1201365,36.,12/28/2012,C,$31
1201366,WVC,4/20/2012,C,$46
1201367,8G;,2/27/2012,D,$28
1201368,0Q6,3/12/2012,D,$16
1201369,.@1,6/11/2013,C,$7
1201370,37G,10/12/2013,D,$43
1201371,MS8,10/18/2014,C,$34
1201372,RPY,4/23/2012,C,$40
1201373,T=U,9/1/2013,D,$5
1201374,N6W,3/16/2014,C,$17
1201375,B7P,11/3/2013,D,$14
1201376,GLV,12/2/2012,C,$42
1201377,5?1,4/24/2013,C,$30
1201378,I-=,8/26/2014,C,$36
1201379,Y6C,4/2/2012,D,$20
1201380,;/U,7/28/2012,D,$29
1201381,;I9,8/23/2014,C,$3
1201382,=VA,7/9/2013,D,$10
1201383,<EB,10/1/2013,C,$31
1201384,KI@,3/28/2013,C,$17
1201385,;AQ,3/15/2013,D,$22
1201386,XD/,4/21/2012,C,$7
1201387,D:F,10/4/2013,D,$31
1201388,>NE,12/13/2014,C,$39
1201389,?AB,11/15/2014,C,$27
1201390,LJY,9/20/2012,C,$18
1201391,L?Z,12/18/2012,D,$25
1201392,84/,5/7/2014,D,$39
1201393,U;V,5/24/2013,C,$40
1201394,HEU,6/19/2012,D,$8
1201395,SJW,5/9/2014,C,$13
1201396,WTC,2/3/2012,C,$1
1201397,Z;2,7/21/2014,D,$18
1201398,X=W,7/25/2012,C,$18
1201399,P/H,2/8/2013,D,$2
1201400,AAP,7/7/2012,C,$11
1201401,<-0,5/20/2014,C,$24
1201402,K<-,5/20/2014,C,$2
1201403,P?A,10/1/2014,D,$44
1201404,8J3,3/12/2014,D,$5
1201405,MMS,5/6/2014,C,$46
1201406,NGD,4/27/2012,D,$18
1201407,ZHW,8/17/2014,C,$23
1201408,;DO,5/28/2013,C,$34
1201409,7/<,5/4/2014,D,$35
1201410,RBW,4/21/2014,C,$27
1201411,CGM,5/15/2012,D,$39
1201412,<U3,11/28/2014,C,$43
1201413,6XU,10/17/2012,C,$40
1201414,5S.,12/18/2013,C,$33
1201415,3Y2,6/1/2013,D,$42
1201416,RKQ,1/11/2014,D,$17
1201417,-VM,8/28/2012,C,$47
1201418,4A6,3/12/2013,D,$27
1201419,.K>,4/21/2012,C,$13
1201420,K3A,2/16/2014,C,$35
1201421,9=J,6/6/2013,D,$49
1201422,@EY,4/19/2014,C,$39
1201423,<V3,10/26/2012,D,$27
1201424,S@F,8/16/2012,C,$27
1201425,F.A,8/26/2014,C,$33
1201426,@;3,4/21/2012,C,$32
1201427,1XA,3/12/2013,D,$26
